900.0	   -0.932689057   -1.932689057    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
890.0	   -0.932689452   -1.932689452    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
880.0	   -0.932689482   -1.932689482    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
870.0	   -0.932689673   -1.932689673    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
860.0	   -0.932690077   -1.932690077    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
850.0	   -0.932689599   -1.932689599    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
840.0	   -0.932689384   -1.932689384    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
830.0	   -0.932689384   -1.932689384    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
820.0	   -0.932689417   -1.932689417    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
810.0	   -0.932689395   -1.932689395    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
800.0	   -0.932689850   -1.932689850    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
790.0	   -0.932689309   -1.932689309    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
780.0	   -0.932689490   -1.932689490    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
770.0	   -0.932689487   -1.932689487    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
760.0	   -0.932689816   -1.932689816    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
750.0	   -0.932689816   -1.932689816    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
740.0	   -0.932689468   -1.932689468    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
730.0	   -0.932689790   -1.932689790    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
720.0	   -0.932689811   -1.932689811    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
710.0	   -0.932689687   -1.932689687    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
700.0	   -0.932689528   -1.932689528    0.000000000    1.000000000    0.000000000    0.000000000    0.000000000    0.000000000
