  -5.0000000000000000       -4.7103807783853299E-004 -0.21104889558522899     
  -4.9979995999199840       -4.7148262300560545E-004 -0.21114316539625341     
  -4.9959991998399680       -4.7192783031649657E-004 -0.21123752419801278     
  -4.9939987997599520       -4.7237370114634666E-004 -0.21133197212309346     
  -4.9919983996799360       -4.7282023687400217E-004 -0.21142650930435697     
  -4.9899979995999200       -4.7326743888203443E-004 -0.21152113587494406     
  -4.9879975995199040       -4.7371530855674113E-004 -0.21161585196826646     
  -4.9859971994398880       -4.7416384728818102E-004 -0.21171065771801983     
  -4.9839967993598719       -4.7461305647015253E-004 -0.21180555325817424     
  -4.9819963992798559       -4.7506293750023971E-004 -0.21190053872297912     
  -4.9799959991998399       -4.7551349177979814E-004 -0.21199561424696550     
  -4.9779955991198239       -4.7596472071399673E-004 -0.21209077996494471     
  -4.9759951990398079       -4.7641662571179527E-004 -0.21218603601200822     
  -4.9739947989597919       -4.7686920818597957E-004 -0.21228138252353260     
  -4.9719943988797759       -4.7732246955318488E-004 -0.21237681963517380     
  -4.9699939987997599       -4.7777641123387542E-004 -0.21247234748287303     
  -4.9679935987197439       -4.7823103465238895E-004 -0.21256796620285609     
  -4.9659931986397279       -4.7868634123692590E-004 -0.21266367593163540     
  -4.9639927985597119       -4.7914233241958372E-004 -0.21275947680600749     
  -4.9619923984796959       -4.7959900963635610E-004 -0.21285536896305607     
  -4.9599919983996799       -4.8005637432714673E-004 -0.21295135254015496     
  -4.9579915983196639       -4.8051442793578606E-004 -0.21304742767496113     
  -4.9559911982396478       -4.8097317191004386E-004 -0.21314359450542483     
  -4.9539907981596318       -4.8143260770165523E-004 -0.21323985316978544     
  -4.9519903980796158       -4.8189273676629732E-004 -0.21333620380657400     
  -4.9499899979995998       -4.8235356056364859E-004 -0.21343264655461244     
  -4.9479895979195838       -4.8281508055737088E-004 -0.21352918155301240     
  -4.9459891978395678       -4.8327729821513314E-004 -0.21362580894118335     
  -4.9439887977595518       -4.8374021500862183E-004 -0.21372252885882498     
  -4.9419883976795358       -4.8420383241356456E-004 -0.21381934144593470     
  -4.9399879975995198       -4.8466815190973571E-004 -0.21391624684280133     
  -4.9379875975195038       -4.8513317498096587E-004 -0.21401324519001569     
  -4.9359871974394878       -4.8559890311516171E-004 -0.21411033662846149     
  -4.9339867973594718       -4.8606533780431972E-004 -0.21420752129932225     
  -4.9319863972794558       -4.8653248054453979E-004 -0.21430479934407945     
  -4.9299859971994398       -4.8700033283604168E-004 -0.21440217090451591     
  -4.9279855971194237       -4.8746889618317684E-004 -0.21449963612271175     
  -4.9259851970394077       -4.8793817209443201E-004 -0.21459719514105294     
  -4.9239847969593917       -4.8840816208246081E-004 -0.21469484810222242     
  -4.9219843968793757       -4.8887886766409226E-004 -0.21479259514920981     
  -4.9199839967993597       -4.8935029036033934E-004 -0.21489043642530964     
  -4.9179835967193437       -4.8982243169641538E-004 -0.21498837207411722     
  -4.9159831966393277       -4.9029529320176015E-004 -0.21508640223953401     
  -4.9139827965593117       -4.9076887641002673E-004 -0.21518452706577088     
  -4.9119823964792957       -4.9124318285913261E-004 -0.21528274669734182     
  -4.9099819963992797       -4.9171821409124596E-004 -0.21538106127907361     
  -4.9079815963192637       -4.9219397165280773E-004 -0.21547947095609724     
  -4.9059811962392477       -4.9267045709455444E-004 -0.21557797587385694     
  -4.9039807961592317       -4.9314767197152106E-004 -0.21567657617810601     
  -4.9019803960792157       -4.9362561784306754E-004 -0.21577527201490673     
  -4.8999799959991996       -4.9410429627287894E-004 -0.21587406353063987     
  -4.8979795959191836       -4.9458370882899901E-004 -0.21597295087199528     
  -4.8959791958391676       -4.9506385708382981E-004 -0.21607193418597614     
  -4.8939787957591516       -4.9554474261415246E-004 -0.21617101361990251     
  -4.8919783956791356       -4.9602636700114898E-004 -0.21627018932140996     
  -4.8899779955991196       -4.9650873183039381E-004 -0.21636946143844901     
  -4.8879775955191036       -4.9699183869190153E-004 -0.21646883011929352     
  -4.8859771954390876       -4.9747568918012762E-004 -0.21656829551252610     
