0.2	4.8759323743465255E-003 5.6844792800213135E-003
0.4	1.6727553762217906E-002 2.1962108128359428E-002
0.6	5.0000573975866935E-002 6.9818919543050320E-002
0.8	9.8242407984255875E-002 0.14193964003844292
1.0	0.15555788867979098 0.22808825747172889
1.5	0.35899680256244504 0.50689369264171880
2.0	0.63572531587547276 0.82090680307543318
2.5	0.93432021730272519 1.1173491062827490
3.0	1.2292224546279076 1.3967679612480448
3.5	1.5154232955439313 1.6647476776351353
4.0	1.7940901228049213 1.9267125858209497
4.5	2.0668332789422328 2.1856094793806262
5.0	2.3357505467557003 2.4425539224117121
